PO No,Forwarder Name,PO Created By,Vendor Code,Vendor Name,Vendor Country Name,Consignee Code,Incoterm Origin,PO Delivery Date,PO Item,Material No,Material Short Text,PO Quantity,Total GR Qty,PO Line Process,PO Line Status
68037525,,TNIELSEN,1900014063,NCPC International Corp,China,X12001,DAP,2024-10-02,10,S1505099,Ampicillin pdr/inj 500mg vial/BOX-50,4000,4000,LTA,CLOSED
68037521,,MKAZEMI,1900015853,Mepro Pharmaceuticals Pvt Ltd,India,X12002,DAP,2024-05-30,10,S1531009,Azithromycin 250mg tablets/PAC-6,3900,3900,LTA,CLOSED
68037523,,MKAZEMI,1900014773,MEDOPHARM,India,X12001,DAP,2024-08-15,10,S1531009,Azithromycin 250mg tablets/PAC-6,100800,100800,LTA,CLOSED
68037862,Kuehne + Nagel A/S,STAHERISAEID,1900020040,Gemini Global Limited,China,X12010,FCA,2024-09-16,10,S2795802,"Board Games, box of 3 games",30240,30240,LTA,CLOSED
68037862,Kuehne + Nagel A/S,STAHERISAEID,1900020040,Gemini Global Limited,China,X12010,FCA,2024-09-16,20,S2795803,"Hackey Sack, Synthetic leather, pac/3",37800,37800,LTA,CLOSED
68037862,Kuehne + Nagel A/S,STAHERISAEID,1900020040,Gemini Global Limited,China,X12010,FCA,2024-09-16,30,S5033000,Maths Teaching Kit,336,336,LTA,CLOSED
68037862,Kuehne + Nagel A/S,STAHERISAEID,1900020040,Gemini Global Limited,China,X12010,FCA,2024-09-16,40,S5001010,"Box,metal,lockable,for storage",928,928,LTA,CLOSED
68037862,Kuehne + Nagel A/S,STAHERISAEID,1900020040,Gemini Global Limited,China,X12010,FCA,2024-09-30,50,S5001010,"Box,metal,lockable,for storage",1536,1536,LTA,CLOSED
68037862,Kuehne + Nagel A/S,STAHERISAEID,1900020040,Gemini Global Limited,China,X12010,FCA,2024-10-21,60,S5001010,"Box,metal,lockable,for storage",1536,1536,LTA,CLOSED
68037522,,AWEIS,1900001115,Chempatex Medizinische,Germany,,DAP,2024-09-20,10,S0523055,"Compress,gauze,10x10cm,ster/PAC-5",135000,135000,LTA,CLOSED
68037530,,BKERNKAMP,1900001115,Chempatex Medizinische,Germany,X12004,DAP,2024-08-07,10,S0145558,"Scale,infant,tray,20kgx5g,batteries",1134,1134,LTA,CLOSED
68037527,,AWEIS,1900022348,Albino Dias de Andrade,Portugal,X12004,DAP,2024-07-07,10,S0523055,"Compress,gauze,10x10cm,ster/PAC-5",38880,39420,LTA,CLOSED
68037528,Kuehne + Nagel A/S,IMUNOZ,1900008236,Fleischhacker GmbH & Co.KG,Germany,X12004,FCA,2024-07-08,10,S0904991,"Test strip, urine, 10 parameter, box/100",1500,1500,LTA,CLOSED
68037531,,NANXIONNAZ,1900001613,Medentech Ltd,Ireland,X12004,DAP,2024-05-30,10,S1588360,Water purif.(NaDCC) 1.67g tabs/PAC-200,6048,6048,LTA,CLOSED
68037531,,NANXIONNAZ,1900001613,Medentech Ltd,Ireland,X12004,DAP,2024-05-30,20,S5006055,"NaDCC,Chlorine Granules 56%, 1/2kg",672,672,LTA,CLOSED
68037560,,MKAZEMI,1900014916,Sandoz d d,Slovenia,X12001,DAP,2024-06-30,10,S1505043,Amoxicillin 250mg disp.tab/PAC-(10x10),139104,139104,LTA,CLOSED
68037943,,TNIELSEN,1900000468,Remedica Ltd.,Cyprus,X12001,DAP,2025-03-20,10,S1505043,Amoxicillin 250mg disp.tab/PAC-(10x10),276800,191755,LTA,OPEN
68037557,,MKAZEMI,1900000468,Remedica Ltd.,Cyprus,X12001,DAP,2024-11-10,10,S1505043,Amoxicillin 250mg disp.tab/PAC-(10x10),325000,325000,LTA,CLOSED
68037561,,MKAZEMI,1900012560,Micro Labs Limited,India,X12001,DAP,2025-03-20,10,S1505043,Amoxicillin 250mg disp.tab/PAC-(10x10),135600,140575,LTA,CLOSED
68037540,,NANXIONNAZ,1900002764,Jose Miguel Poveda S.A. (JOMIPSA),Spain,X12004,DAP,2024-05-27,10,S5006122,"WASH&DignityKit,firstResp,1HH,noPurifTab",1200,1200,LTA,CLOSED
68037532,,AWEIS,1900006469,SURU INTERNATIONAL PVT LTD,India,X12002,DAP,2024-06-13,10,S0372000,"Tube,asp/feed,CH06,L125cm,ster,disp",4500,4500,LTA,CLOSED
68037534,,AWEIS,1900001301,Falcon Surgical Co. (Pvt.) Ltd.,Pakistan,X12002,DAP,2024-07-06,10,S0721000,"Forceps,dressing,standard,155mm,str",10000,10000,LTA,CLOSED
68037533,,AWEIS,1900021784,Durable Hospital Supplies,Pakistan,X12002,DAP,2024-05-31,10,S0721000,"Forceps,dressing,standard,155mm,str",10000,10000,LTA,CLOSED
68037533,,AWEIS,1900021784,Durable Hospital Supplies,Pakistan,X12002,DAP,2024-05-31,20,S0773500,"Scissors,Deaver,140mm,str,s/b",5000,5000,LTA,CLOSED
68037535,,AWEIS,1900015844,Wrangler Instruments,Pakistan,,DAP,2024-07-01,10,S0773500,"Scissors,Deaver,140mm,str,s/b",15000,15000,LTA,CLOSED
