Order,Destination,Ship to party,Pack date,No of kits/sets,Priority,Incomplete,Shipping point,Background,Foreground,Sampling,Release,Prepick,Bagging,Miniload,SL/Bulk,Long line A,Long line B,QA label,Virtual pack,Haz. Material
50183228,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,,,,C,,,,C,Yes
50183231,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,,,,C,,,,,Yes
50183234,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,,,,C,,,,,No
50183233,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,,No
50183232,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,,,,C,,,,,Yes
50183242,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183245,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,,,,C,,,,,No
50183244,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183247,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183246,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183248,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,,,,C,,,,,No
50183250,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,,,,,,,,C,No
50183249,Myanmar,X06002,30.03.2025,--,1,No,1001,,C,,C,B,,,C,,,,,No
50183240,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,C,,,B,,,,C,No
50183237,Myanmar,X06002,30.03.2025,--,1,No,1001,C,,,C,B,,,A,,,,,Yes
50183253,Lebanon,X24902,02.04.2025,--,1,No,1003,C,,,C,B,,,A,,,,C,No
50183251,Myanmar,X06002,02.04.2025,--,1,No,1003,C,,,C,A,,,A,,,,C,No
50183252,Myanmar,X06002,02.04.2025,--,1,No,1003,C,,,C,B,,,A,,,,C,No
50151206,DPR of Korea,X51508,18.02.2022,--,2,No,1000,,C,,C,C,,,C,,,,C,No
50153123,Uganda,Z43801,06.05.2022,--,2,No,1000,,C,,C,C,,,C,,,,,No
50157288,Nigeria,X32117,19.09.2022,--,2,No,1000,,C,,C,C,,,C,,,,,No
50157675,Somalia,X39222,12.10.2022,--,2,No,1000,,C,,C,C,,,C,,,,,Yes
50157706,Somalia,X39228,05.10.2022,--,2,No,1000,,C,,C,,,,C,,,,,Yes
50163011,Cabo Verde,X682D4,15.03.2023,--,2,No,1000,,C,,C,C,,,C,,,,,No
50167023,Somalia,X39209,01.08.2023,--,2,No,1000,,C,,C,C,,,C,,,,C,No
50172480,Yemen,X49205,25.02.2024,--,2,No,1000,,C,,C,C,,,C,,,,C,No
50172481,Yemen,X49205,25.02.2024,--,2,No,1000,,C,,C,,,,C,,,,C,No
50172482,Yemen,X49239,23.02.2024,--,2,No,1000,,C,,C,C,,,C,,,,C,No
50174438,Zimbabwe,X62611,21.05.2024,--,2,No,1000,,C,,C,C,,,C,,,,,No
50179053,DPR of Korea,X51508,24.10.2024,--,2,No,1000,C,,,C,C,,,C,,,,,No
50179051,DPR of Korea,X51508,24.10.2024,--,2,No,1000,C,,,C,C,,,C,,,,,No
50179052,DPR of Korea,X51508,24.10.2024,--,2,No,1000,C,,,C,C,,,C,,,,,No
50180233,Mozambique,X689J8,01.12.2024,--,2,No,1000,C,,,C,,,,C,,,,C,No
50181372,Sierra Leone,X39001,14.01.2025,--,2,No,1000,,C,,C,C,,,C,,,,,No
